EdgeID,SourceAccountId,TargetAccountId,Timestamp,Amount Sent,Sent Currency,Amount Received,Receiving Currency,Payment Format,Is Laundering
4310,7571,7572,430,11242.88,0,11242.88,0,2,0
4350,7638,7639,430,37.4,0,37.4,0,3,0
434,791,791,490,18775.47,5,18775.47,5,5,0
831,1507,1507,490,59635.85,0,59635.85,0,5,0
1847,3314,3314,490,1322.31,0,1322.31,0,5,0
3455,6112,6112,490,851.2,1,851.2,1,5,0
4352,7641,7641,490,267742.02,1,267742.02,1,5,0
38,69,69,550,21.77,1,21.77,1,5,0
238,436,436,550,2267.66,0,2267.66,0,5,0
353,640,641,550,33835.06,2,33835.06,2,4,0
624,1131,1132,550,92303.09,0,92303.09,0,2,0
673,1224,1224,550,16718.01,0,16718.01,0,5,0
990,1791,1791,550,17281.25,1,17281.25,1,5,0
1437,2589,2589,550,0.363986,10,0.363986,10,6,0
1711,3072,3072,550,6.33,0,6.33,0,5,0
1731,3107,3108,550,906.46,0,906.46,0,3,0
2374,4240,4240,550,51.7,2,51.7,2,5,0
2641,4709,4709,550,22.68,5,22.68,5,5,0
2840,5060,5060,550,22.56,5,22.56,5,5,0
3156,5597,5597,550,11.16,1,11.16,1,5,0
3548,6269,6269,550,21638.93,0,21638.93,0,5,0
3691,6515,6515,550,14.48,0,14.48,0,5,0
4913,8612,8612,550,477.88,0,477.88,0,5,0
5202,52,9095,550,37080124.05,8,37080124.05,8,2,1
712,1290,1290,610,4552.94,0,4552.94,0,5,0
823,1493,1493,610,2776.81,13,2776.81,13,5,0
976,1764,1764,610,22.48,1,22.48,1,5,0
1808,3246,3246,610,10.96,1,10.96,1,5,0
3070,5450,5450,610,2629056.17,0,2629056.17,0,5,0
3486,6162,6162,610,55474.81,14,55474.81,14,5,0
3838,6769,6769,610,16.49,1,16.49,1,5,0
4130,7267,7267,610,52871.85,1,52871.85,1,5,0
4207,7399,7399,610,95385.83,9,95385.83,9,5,0
4291,7538,7538,610,12.99,0,12.99,0,5,0
4631,8130,8130,610,20.74,0,20.74,0,5,0
4888,8569,8569,610,4.84,0,4.84,0,5,0
5013,8784,8785,610,7597.67,0,7597.67,0,0,0
735,1332,1333,670,863.4,0,863.4,0,3,0
951,1719,1719,670,38398.77,1,38398.77,1,5,0
1041,1879,1880,670,14.91,1,14.91,1,3,0
1329,2398,2398,670,59.41,0,59.41,0,5,0
1565,2810,2810,670,39.87,2,39.87,2,5,0
2771,4936,4937,670,2024.0,1,2024.0,1,2,0
3013,5348,5349,670,41735.28,1,41735.28,1,0,0
3287,5821,5822,670,50854.9,13,50854.9,13,0,0
3418,6050,6051,670,3254.07,0,3254.07,0,3,0
3869,6817,6817,670,48.36,11,48.36,11,5,0
4422,7763,7764,670,8893738.86,13,8893738.86,13,4,0
4659,8179,8179,670,4920.43,1,4920.43,1,5,0
4870,8541,2810,670,195489.08,2,195489.08,2,0,0
604,1094,1095,730,11115.9,0,11115.9,0,3,0
857,1554,1554,730,21.17,0,21.17,0,5,0
928,1676,1676,730,23.02,11,23.02,11,5,0
1064,1922,1922,730,22645.31,0,22645.31,0,5,0
1235,2233,2233,730,48517.47,2,48517.47,2,5,0
1677,3009,3009,730,35968471.09,8,35968471.09,8,5,0
1888,3387,3388,730,15267.98,1,15267.98,1,3,0
1997,3581,3581,730,82.22,9,82.22,9,5,0
2913,5181,5181,730,512.96,1,512.96,1,5,0
3115,5529,5529,730,8245.07,0,8245.07,0,5,0
3481,6154,6154,730,837.27,3,837.27,3,5,0
5097,8934,8934,730,259.28,0,259.28,0,5,0
5201,18,9094,730,8873.07,0,8873.07,0,1,1
436,794,794,790,127.7,11,127.7,11,5,0
656,1193,1193,790,20.67,1,20.67,1,5,0
1472,2649,2649,790,11.61,1,11.61,1,5,0
1889,3389,3389,790,64565.81,1,64565.81,1,5,0
2025,3631,3632,790,0.01,2,0.01,2,2,0
2045,3663,3663,790,1115.8,11,1115.8,11,5,0
2084,3732,3732,790,50456.51,3,50456.51,3,5,0
2152,3850,3851,790,16049.39,1,16049.39,1,3,0
2186,3912,3912,790,290.27,1,290.27,1,5,0
2333,4165,4166,790,21518.76,11,21518.76,11,2,0
3026,5372,5373,790,0.013615,10,0.013615,10,6,0
3403,6025,6025,790,44069.23,7,44069.23,7,5,0
4120,7251,7251,790,24185.12,11,24185.12,11,5,0
4497,7893,7894,790,5.12,1,5.12,1,0,0
4762,8354,8354,790,549.45,1,549.45,1,5,0
364,662,662,850,5266.69,1,5266.69,1,5,0
833,1510,1510,850,1244.6,1,1244.6,1,5,0
2053,3678,3678,850,16124.12,0,16124.12,0,5,0
3706,6543,6543,850,246431.92,1,246431.92,1,5,0
3780,6673,6673,850,140862.93,11,140862.93,11,5,0
3857,6799,6800,850,34.5,9,34.5,9,3,0
5008,8776,8776,850,83037.95,0,83037.95,0,5,0
331,602,602,910,18.45,13,18.45,13,5,0
1356,2446,2446,910,20.3,0,20.3,0,5,0
1614,2897,2897,910,3.04,5,3.04,5,5,0
2149,3845,3845,910,5342.69,1,5342.69,1,5,0
2386,4262,4262,910,79.82,2,79.82,2,5,0
2389,4267,4267,910,239456.68,8,239456.68,8,5,0
4354,7644,7644,910,5.68,0,5.68,0,5,0
4534,7958,7958,910,5.62,4,5.62,4,5,0
4717,8277,8277,910,135384.73,3,135384.73,3,5,0
60,111,112,970,34898.23,1,34898.23,1,2,0
871,1577,1577,970,28.86,6,28.86,6,5,0
1011,1770,1770,970,5.42,0,5.42,0,5,0
2907,5173,5173,970,5041.67,5,5041.67,5,5,0
3516,6215,6215,970,1649.13,13,1649.13,13,5,0
3972,7000,7001,970,459.58,0,459.58,0,1,0
3988,7031,7031,970,6668.99,11,6668.99,11,5,0
4058,7147,7147,970,48.35,1,48.35,1,5,0
4936,8651,8651,970,585695.48,0,585695.48,0,5,0
325,592,592,1030,822.83,1,822.83,1,5,0
1022,1845,1846,1030,1294024.0,13,1294024.0,13,0,0
1366,2463,2464,1030,216925.71,1,216925.71,1,1,0
1590,2854,2855,1030,30511.78,2,30511.78,2,3,0
1646,2953,2953,1030,5727.5,14,5727.5,14,5,0
1985,3559,3559,1030,14.44,0,14.44,0,5,0
2379,4248,4249,1030,122227.0,0,122227.0,0,0,0
2681,4779,4779,1030,0.001533,10,0.001533,10,6,0
2822,5029,5029,1030,266964.93,1,266964.93,1,5,0
3452,6107,6107,1030,9.07,1,9.07,1,5,0
3820,6742,6742,1030,10.85,1,10.85,1,5,0
3933,6931,6932,1030,29458.05,11,29458.05,11,1,0
3998,7047,7048,1030,0.06,9,0.06,9,0,0
4168,3861,3861,1030,24.22,1,24.22,1,5,0
4584,8046,8046,1030,390619.73,1,390619.73,1,5,0
4940,8656,8657,1030,12796.6,1,12796.6,1,3,0
5183,70,9077,1030,6892.43,1,6892.43,1,3,1
71,133,133,1090,10.42,5,10.42,5,5,0
124,232,232,1090,278879.18,0,278879.18,0,5,0
763,1381,1381,1090,4.8,0,4.8,0,5,0
936,1690,1691,1090,760.96,4,760.96,4,0,0
1241,2242,2243,1090,161.67,0,161.67,0,3,0
1721,3088,3089,1090,19535134.86,1,19535134.86,1,2,0
2283,4077,4078,1090,15307017.27,1,15307017.27,1,2,0
2992,5313,5313,1090,15926.42,0,15926.42,0,5,0
3991,70,7035,1090,144.51,1,144.51,1,3,0
4013,7076,7077,1090,8077.51,1,8077.51,1,2,0
4433,7784,7784,1090,5184.23,0,5184.23,0,5,0
4503,7904,7904,1090,80747.23,12,80747.23,12,5,0
5155,9037,9037,1090,20.76,1,20.76,1,5,0
478,870,870,1150,42389179.7,3,42389179.7,3,5,0
1438,2590,2590,1150,24.33,1,24.33,1,5,0
1805,3241,3241,1150,128.75,14,128.75,14,5,0
1986,3560,3560,1150,18.45,1,18.45,1,5,0
2103,3765,3765,1150,316649.91,2,316649.91,2,5,0
2118,3789,3789,1150,5912.57,1,5912.57,1,5,0
2287,4084,4084,1150,214792.3,0,214792.3,0,5,0
2306,4118,4118,1150,11.3,1,11.3,1,5,0
2730,4863,4864,1150,219375.49,3,219375.49,3,2,0
2741,4884,4884,1150,65403.58,1,65403.58,1,5,0
3545,6264,6265,1150,348918584.71,7,348918584.71,7,4,0
3662,6468,6468,1150,12.72,1,12.72,1,5,0
4049,7134,7134,1150,450364.93,14,450364.93,14,5,0
4250,7468,7468,1150,5640432.62,7,5640432.62,7,5,0
4463,5826,5826,1150,48681.58,1,48681.58,1,5,0
466,70,849,1210,6062.1,1,6062.1,1,3,0
516,935,935,1210,18.2,1,18.2,1,5,0
751,1359,1359,1210,2230.26,0,2230.26,0,5,0
798,1445,1445,1210,5935.06,1,5935.06,1,5,0
957,1729,1730,1210,1149.74,1,1149.74,1,3,0
1601,2874,2875,1210,145292.0,1,145292.0,1,0,0
1639,2942,2942,1210,14.24,1,14.24,1,5,0
2090,3742,3742,1210,635.06,0,635.06,0,5,0
3389,70,6002,1210,20963.21,1,20963.21,1,3,0
3925,6917,6917,1210,1111.29,3,1111.29,3,5,0
4306,7565,7565,1210,171.99,0,171.99,0,5,0
4625,8120,8121,1210,18025.24,1,18025.24,1,3,0
4651,8165,8165,1210,0.00202,10,0.00202,10,6,0
5204,845,9096,1210,56042.84,5,56042.84,5,2,1
746,1352,1352,1270,11.92,2,11.92,2,5,0
768,1389,1390,1270,33690.3,0,33690.3,0,2,0
1517,2728,2728,1270,4944.69,1,4944.69,1,5,0
1831,3287,3287,1270,2898.69,5,2898.69,5,5,0
2508,4482,4482,1270,3.49,0,3.49,0,5,0
3004,5332,5332,1270,9102.29,1,9102.29,1,5,0
3119,5535,5535,1270,2971.63,11,2971.63,11,5,0
3356,5942,5943,1270,5888.48,5,5888.48,5,0,0
3396,6013,6013,1270,357.33,1,357.33,1,5,0
4417,7754,7754,1270,67298.59,1,67298.59,1,5,0
4474,7855,7856,1270,7.56,4,7.56,4,3,0
4693,8238,8238,1270,445.14,1,445.14,1,5,0
5177,70,9070,1270,389769.39,1,389769.39,1,2,1
295,539,539,1330,4841.65,8,4841.65,8,5,0
688,1250,1250,1330,9978.67,9,9978.67,9,5,0
1224,2218,2218,1330,122801.9,8,122801.9,8,5,0
1699,3049,3049,1330,115701.96,2,115701.96,2,5,0
1748,3138,3139,1330,20291.62,4,20291.62,4,3,0
2569,4587,4587,1330,0.000953,10,0.000953,10,6,0
2878,5125,5125,1330,4480.73,0,4480.73,0,5,0
3307,5855,5856,1330,107932.0,7,107932.0,7,2,0
3417,6049,6049,1330,1487.96,7,1487.96,7,5,0
3559,6286,6286,1330,16.76,0,16.76,0,5,0
4027,7098,7098,1330,15.32,1,15.32,1,5,0
4623,8117,8117,1330,632.06,5,632.06,5,5,0
152,283,283,1390,14009.31,5,14009.31,5,5,0
634,1150,1151,1390,11304.87,1,11304.87,1,2,0
949,260,1716,1390,621370.35,1,621370.35,1,0,0
1393,2511,2511,1390,14.63,1,14.63,1,5,0
2537,4532,4532,1390,8.18,0,8.18,0,5,0
2584,4612,4612,1390,4509443.6,3,4509443.6,3,5,0
4392,5550,5550,1390,5709.66,1,5709.66,1,5,0
4915,8615,8615,1390,7001.95,2,7001.95,2,5,0
4981,2726,2727,1390,7109.61,9,7109.61,9,3,0
5181,70,9074,1390,14288.83,1,14288.83,1,1,1
5182,9075,9076,1390,3401.73,1,3401.73,1,0,1
183,336,336,1450,10.56,1,10.56,1,5,0
296,540,540,1450,6.31,1,6.31,1,5,0
309,563,563,1450,5.42,5,5.42,5,5,0
455,830,830,1450,7319.03,13,7319.03,13,5,0
3320,5878,5878,1450,1192693.77,0,1192693.77,0,5,0
3517,6216,6216,1450,31046.35,0,31046.35,0,5,0
4657,8176,8176,1450,7596.9,1,7596.9,1,5,0
4668,465,8195,1450,0.01244,10,0.01244,10,6,0
4703,8253,8253,1450,184.39,1,184.39,1,5,0
4907,8602,8602,1450,20074.72,0,20074.72,0,5,0
239,437,437,1510,920.24,5,920.24,5,5,0
1598,2870,2870,1510,20.76,1,20.76,1,5,0
2244,4010,4011,1510,4356356.94,1,4356356.94,1,2,0
2614,4662,4662,1510,84496.57,1,84496.57,1,5,0
4302,7558,7559,1510,482327.75,0,482327.75,0,2,0
4554,7992,7992,1510,6.21,1,6.21,1,5,0
4669,8196,8196,1510,81873.27,2,81873.27,2,5,0
4947,8669,8669,1510,862.57,14,862.57,14,5,0
5087,8919,8920,1510,992641.02,3,992641.02,3,1,0
47,86,87,1570,16707.11,2,16707.11,2,2,0
159,294,294,1570,107.48,14,107.48,14,5,0
583,1056,1057,1570,3741.88,2,3741.88,2,0,0
1177,2130,2130,1570,0.011466,10,0.011466,10,6,0
1371,2473,2473,1570,1347.96,1,1347.96,1,5,0
2415,4310,4310,1570,86305.09,1,86305.09,1,5,0
2778,4950,4950,1570,640.39,1,640.39,1,5,0
2972,5277,5277,1570,379.45,11,379.45,11,5,0
3942,6947,6947,1570,18.78,1,18.78,1,5,0
5184,18,1002,1570,37145.3,0,37145.3,0,2,1
836,1515,1515,1630,11.85,1,11.85,1,5,0
1603,2878,2879,1630,58.79,1,58.79,1,2,0
4178,7350,7350,1630,45590.08,0,45590.08,0,5,0
18,32,32,1690,14.54,5,14.54,5,5,0
257,469,470,1690,3021.8,1,3021.8,1,3,0
515,934,934,1690,8.32,1,8.32,1,5,0
1464,70,2635,1690,2224.39,1,2224.39,1,1,0
1570,2817,2818,1690,246.17,0,246.17,0,2,0
1607,2886,2886,1690,110135.41,11,110135.41,11,5,0
2087,3737,3737,1690,13.51,2,13.51,2,5,0
2313,4130,4130,1690,15.45,0,15.45,0,5,0
2471,4412,4412,1690,770129.01,1,770129.01,1,5,0
2895,5153,5153,1690,7566.72,1,7566.72,1,5,0
2966,5268,5268,1690,5566.26,0,5566.26,0,5,0
3687,6507,6508,1690,107.6,1,107.6,1,3,0
4318,7585,7585,1690,187056.88,11,187056.88,11,5,0
4768,8364,8364,1690,415237.33,12,415237.33,12,5,0
5016,8790,8791,1690,31533.82,13,31533.82,13,1,0
96,181,182,1750,773.95,8,773.95,8,3,0
258,318,471,1750,14914824.27,2,14914824.27,2,1,0
263,479,479,1750,19094.86,1,19094.86,1,5,0
690,1252,1252,1750,254.63,3,254.63,3,5,0
1402,2527,2527,1750,30.98,6,30.98,6,5,0
1491,1661,2683,1750,243234.65,12,243234.65,12,2,0
1853,3325,3325,1750,30542.37,13,30542.37,13,5,0
2312,4128,4129,1750,75870.99,1,75870.99,1,1,0
2555,4565,4565,1750,708778.35,6,708778.35,6,5,0
2897,5156,5157,1750,57.22,0,57.22,0,3,0
2940,5227,5227,1750,1872.46,8,1872.46,8,5,0
4833,8475,8475,1750,357295.52,1,357295.52,1,5,0
27,49,49,1870,20554.36,1,20554.36,1,5,0
1079,1949,1950,1870,7128.49,0,7128.49,0,3,0
1484,2670,2671,1930,10923.43,1,10923.43,1,3,0
5223,9115,9116,1990,3259.18,0,3259.18,0,0,1
5229,845,9125,1990,504.96,5,504.96,5,2,1
2969,5272,5272,2050,6.86,1,6.86,1,5,0
4960,8691,8692,2110,8068.84,1,8068.84,1,3,0
5226,52,9120,2110,636532.29,8,636532.29,8,1,1
4514,7922,7922,2230,21.86,1,21.86,1,5,0
3021,5362,5363,2350,880.29,5,880.29,5,3,0
5225,9118,9119,2350,9430.06,11,9430.06,11,0,1
5227,9121,9122,2350,5832.84,6,5832.84,6,0,1
3557,6283,6283,2410,4403.17,0,4403.17,0,5,0
5220,70,9111,2470,1104.79,1,1104.79,1,2,1
3111,5522,5522,2590,52376.8,1,44698.36,0,0,0
5252,9157,9158,2590,12562.68,5,12562.68,5,0,1
278,506,507,2650,203.41,1,203.41,1,0,0
5224,18,9117,2710,4943.97,0,4943.97,0,2,1
2427,70,4332,2770,9.57,1,9.57,1,3,0
4501,7900,7901,2830,267.23,0,267.23,0,2,0
195,359,359,2890,17.1,1,17.1,1,5,0
5221,9112,9113,2950,4913.3,1,4913.3,1,0,1
2788,4967,4967,3190,3.78,1,3.78,1,5,0
2941,5228,5229,3250,173621.95,3,173621.95,3,0,0
234,429,430,3310,602.31,1,602.31,1,2,0
4231,7434,7434,3310,2257.48,1,2257.48,1,5,0
119,18,223,3370,313.41,0,313.41,0,1,0
5228,9123,9124,3430,37389.78,12,37389.78,12,0,1
4624,8118,8119,3550,471.23,1,471.23,1,3,0
5222,18,9114,3550,20.24,0,20.24,0,3,1
2212,3957,3958,3610,20337.15,2,20337.15,2,1,0
5118,8973,8974,3730,287584.43,7,287584.43,7,2,0
669,745,1217,4030,0.013066,10,0.013066,10,6,0
3935,70,6934,4090,9405.47,1,9405.47,1,2,0
5271,9178,9179,4150,598.5,1,598.5,1,0,1
2541,4537,4538,4210,2183.7,0,2183.7,0,2,0
4285,7528,7528,4210,89.6,9,89.6,9,5,0
3499,6184,6185,4330,41.52,13,41.52,13,0,0
3944,6950,6951,4330,96.24,5,96.24,5,2,0
969,1751,1752,4510,1824.75,12,1824.75,12,2,0
2083,3731,3731,4630,249124.21,1,249124.21,1,5,0
709,70,1286,4690,43503.65,1,43503.65,1,2,0
2980,5291,5291,4690,11423617.77,11,11423617.77,11,5,0
1100,1988,1989,5050,16393.71,8,16393.71,8,2,0
2000,3586,3587,5050,1753.77,1,1753.77,1,2,0
4931,8642,8643,5050,4341.61,0,4341.61,0,1,0
2259,18,4037,5110,25.59,0,25.59,0,1,0
164,303,304,5170,403.3,6,403.3,6,2,0
761,1377,1378,5230,95.26,5,95.26,5,2,0
5269,9175,9176,5230,1609.83,1,1609.83,1,0,1
3024,5368,5369,5290,18457.88,0,18457.88,0,3,0
5270,70,9177,5290,1776.32,1,1776.32,1,3,1
1861,3338,3339,5350,402203.0,0,402203.0,0,2,0
3583,6327,6328,5410,53466.46,3,53466.46,3,2,0
5275,9184,9185,5410,314.17,0,314.17,0,0,1
1203,2180,2181,5530,46042.2,12,46042.2,12,2,0
5294,9207,9208,5650,16502.02,6,16502.02,6,0,1
507,919,920,5710,8.3,13,8.3,13,1,0
1004,1816,1816,5770,30.57,1,30.57,1,5,0
3594,6347,6348,5770,5150.88,13,5150.88,13,3,0
3595,70,6349,5770,164.07,1,164.07,1,1,0
1848,3315,3316,5830,4610.39,1,4610.39,1,2,0
3549,6270,6270,5950,2034.39,1,6870.14,2,0,0
5277,271,9188,6250,20466.85,7,20466.85,7,1,1
1753,3147,3147,6370,12836.89,6,12836.89,6,5,0
70,131,132,6430,37092.04,8,37092.04,8,3,0
125,233,234,6430,657.72,12,657.72,12,4,0
5272,9180,9181,6490,1053.72,1,1053.72,1,0,1
4220,18,7419,6550,226.97,0,226.97,0,3,0
5306,9220,9221,6610,13074.86,1,13074.86,1,0,1
623,18,1130,6730,1873.3,0,1873.3,0,3,0
1811,70,3251,6730,646.26,1,646.26,1,1,0
5274,18,9183,6730,7.92,0,7.92,0,2,1
5276,9186,9187,6790,174293.74,7,174293.74,7,0,1
596,1080,1081,6970,26977.57,1,26977.57,1,3,0
5085,8916,8916,6970,44463.74,1,44463.74,1,5,0
5278,9189,9190,6970,2084.86,5,2084.86,5,0,1
5284,9197,9198,6970,26390.87,6,26390.87,6,0,1
2315,4133,4134,7030,629.79,0,629.79,0,3,0
5279,9191,9192,7030,4986.94,12,4986.94,12,0,1
5273,70,9182,7090,316.13,1,316.13,1,2,1
965,1744,1745,7150,465.13,1,465.13,1,1,0
2241,4004,4005,7330,11657.98,0,11657.98,0,2,0
3740,6603,6604,7330,225.94,6,225.94,6,1,0
3149,5584,5585,7450,1443.54,1,1443.54,1,3,0
1992,3571,3572,7930,106.35,1,106.35,1,2,0
3736,6596,6596,7930,11.79,1,11.79,1,5,0
4776,8378,8379,7930,13137.07,5,13137.07,5,0,0
3708,6546,6546,8110,929650.08,0,929650.08,0,5,0
5308,9223,9224,8110,1272.97,1,1272.97,1,0,1
1456,70,2621,8230,165.75,1,165.75,1,2,0
3175,5632,5632,8230,13.21,0,13.21,0,5,0
1587,2850,2850,8350,22.69,1,22.69,1,5,0
3340,5913,5914,8410,2127.19,1,2127.19,1,3,0
3846,6782,6782,8590,16.38,0,16.38,0,5,0
1538,2764,2765,8650,5030.75,0,5030.75,0,3,0
3582,6325,6326,8650,167794.19,1,167794.19,1,0,0
5322,5393,9251,8770,1766.58,0,1766.58,0,0,1
5324,9253,9254,8770,5268.65,13,5268.65,13,0,1
197,362,362,8890,1287297.54,1,1287297.54,1,5,0
1422,2562,2563,8890,13.48,1,13.48,1,3,0
2950,5246,5246,8890,1062.66,8,1062.66,8,5,0
5323,18,9252,8950,1182.42,0,1182.42,0,2,1
1828,3282,3283,9070,1372.0,11,1372.0,11,3,0
4993,8748,8749,9130,14425.03,1,14425.03,1,4,0
4204,7393,7394,9190,12.9,1,12.9,1,0,0
3628,6406,6406,9430,59.29,1,59.29,1,5,0
2291,4091,4092,9550,32238.7,4,32238.7,4,0,0
781,1412,1413,9610,3688.83,0,3688.83,0,0,0
570,70,1034,9730,343.81,1,343.81,1,2,0
645,1172,1172,9910,55.41,5,55.41,5,5,0
4174,139,7343,9910,903639.67,3,903639.67,3,0,0
3943,6948,6949,10030,118.61,0,118.61,0,1,0
4088,6948,6949,10030,44.76,0,44.76,0,2,0
5325,70,9255,10090,126.03,1,126.03,1,2,1
5326,9256,1413,10150,408736545.67,0,408736545.67,0,0,1
2078,70,3722,10330,4679.76,1,4679.76,1,2,0
4935,8650,8650,10330,6.15,1,6.15,1,5,0
5206,9098,9099,10330,7332.87,5,7332.87,5,0,1
5328,9259,9260,10330,1830.42,4,1830.42,4,0,1
2947,5240,5241,10390,592.93,1,592.93,1,3,0
1624,2913,2914,10450,7847.21,0,7847.21,0,3,0
686,1246,1247,10690,2230.6,1,2230.6,1,1,0
5327,9257,9258,10690,394.78,0,394.78,0,0,1
1173,2123,2123,10930,27904.63,1,27904.63,1,5,0
5329,9261,9262,10990,2994.15,1,2994.15,1,0,1
5330,9263,9264,11110,10076.59,0,10076.59,0,0,1
5340,167,9274,11230,152.58,3,152.58,3,3,1
3853,6794,6794,11350,78893.49,1,78893.49,1,5,0
5338,9271,9272,11650,431.02,0,431.02,0,0,1
2469,4408,4409,11770,0.540387,10,0.540387,10,6,0
3295,5835,5836,11770,120.96,1,120.96,1,1,0
2928,5206,5206,11890,54513.43,7,54513.43,7,5,0
1675,3005,3006,11950,40578.28,1,40578.28,1,4,0
4825,8460,8461,11950,1525971.86,1,1525971.86,1,2,0
2744,4889,4889,12010,4326.89,2,4326.89,2,5,0
3522,6222,6223,12070,698.85,5,698.85,5,2,0
5167,9055,9056,12070,19291.64,13,19291.64,13,2,0
5339,52,9273,12250,170985.24,8,170985.24,8,2,1
4006,7063,7064,12310,245.65,13,245.65,13,2,0
4173,7341,7342,12310,5617911.97,7,5617911.97,7,2,0
2307,4119,4119,12430,98450.18,7,98450.18,7,5,0
546,992,992,12670,6610.71,1,6610.71,1,5,0
3927,6920,6921,12670,220587.53,1,220587.53,1,2,0
4805,8429,8429,12670,2964.89,4,2964.89,4,5,0
4747,8330,8331,12910,24708.78,11,24708.78,11,3,0
5285,9198,9199,12910,19934.49,1,19934.49,1,0,1
594,1076,1077,13030,113.85,14,113.85,14,1,0
4726,8291,8292,13030,246.54,0,246.54,0,3,0
5341,70,9275,13150,423.18,1,423.18,1,2,1
4962,8695,8696,13390,186.7,1,186.7,1,2,0
1706,3062,3063,13570,0.31,8,0.31,8,0,0
3103,5508,5509,13690,5627656.44,7,5627656.44,7,2,0
4847,8500,8500,13690,24.7,1,24.7,1,5,0
1242,2244,2245,13990,14971.07,7,14971.07,7,0,0
